Project,Variant,Precision,Recall,F1,MCC
kafka,cs-only,0.5811,0.9949,0.7337,0.2339
kafka,cs-smote,0.5810,0.9948,0.7335,0.2329
gson,cs-only,0.5417,0.9759,0.6967,0.3824
gson,cs-smote,0.5347,0.9805,0.6920,0.3709
commons-io,cs-only,0.5036,0.7665,0.6078,0.4951
commons-io,cs-smote,0.3800,0.8956,0.5336,0.4149
